Seed,Nodes,Comp,beta_hat,beta_real
0,1500,1,0.98778665,1.0
0,1500,2,1.0055032,1.0
0,1500,3,-4.0170755,-4.0
0,1500,4,5.6906157,5.0
0,3000,1,1.0036173,1.0
0,3000,2,1.007487,1.0
0,3000,3,-3.9814224,-4.0
0,3000,4,4.247237,5.0
0,4500,1,1.0176746,1.0
0,4500,2,0.9843949,1.0
0,4500,3,-3.9990377,-4.0
0,4500,4,4.387723,5.0
0,6000,1,0.99501336,1.0
0,6000,2,1.0087613,1.0
0,6000,3,-3.99523,-4.0
0,6000,4,4.7636404,5.0
0,7500,1,0.99625933,1.0
0,7500,2,1.0040255,1.0
0,7500,3,-4.006969,-4.0
0,7500,4,5.117207,5.0
