,iter,nodes,error_T0,error_T1
0,10.0,1500.0,0.089585416,0.07939188
1,10.0,2250.0,0.073752545,0.06290041
2,10.0,3000.0,0.0643983,0.05624672
3,10.0,3750.0,0.06236028,0.0521516
4,10.0,4500.0,0.050545335,0.048777837
5,10.0,5250.0,0.05337106,0.04262314
6,10.0,6000.0,0.049052976,0.041111268
7,10.0,6750.0,0.045180686,0.040103175
8,10.0,7500.0,0.042357665,0.03820244
9,10.0,8250.0,0.04209879,0.03756452
10,10.0,9000.0,0.041058272,0.03480207
11,10.0,9750.0,0.0389692,0.03392253
12,10.0,10500.0,0.038396142,0.032389
13,10.0,11250.0,0.03887282,0.030746728
14,10.0,12000.0,0.035948016,0.031141158
