,n,dim,empirical_cov_diag,empirical_cov_CI_lb,empirical_cov_CI_ub,inv_Curved_FI_diag
0,10000,0,2.8310520860941324e-07,2.6791863660946547e-07,2.983743172535469e-07,4.146205424999226e-05
1,12000,0,2.367548290749255e-07,2.2348160655383253e-07,2.498537412520818e-07,3.855522836723371e-05
2,14000,0,1.9541180051874107e-07,1.8446364435931173e-07,2.071003848413966e-07,3.188412081576889e-05
3,16000,0,1.6958404103206703e-07,1.6026922367018415e-07,1.7905705362863955e-07,2.7765732027376462e-05
4,18000,0,1.603760324542236e-07,1.514097789367952e-07,1.6924875012591656e-07,2.4568843127515923e-05
5,20000,0,1.3453673375352082e-07,1.2697323370503e-07,1.419164021854158e-07,2.0815917504378977e-05
6,22000,0,1.3081131555736647e-07,1.2340917976416677e-07,1.3836816492585058e-07,2.0894746318363124e-05
7,24000,0,1.1360081941802491e-07,1.0778937564737134e-07,1.1980786496224027e-07,1.74748226046347e-05
8,26000,0,1.0834781960511464e-07,1.0226899860299454e-07,1.146890511449783e-07,1.5516441105230865e-05
9,28000,0,9.926567656748375e-08,9.373730591732965e-08,1.0480113843414074e-07,1.6015266491066978e-05
10,30000,0,9.496100972228305e-08,8.97243452868679e-08,1.0029095420804879e-07,1.3834648921090823e-05
11,32000,0,8.386532357462784e-08,7.971178916932331e-08,8.857641375925596e-08,1.434578700346592e-05
12,34000,0,8.073928370322392e-08,7.626702824836684e-08,8.510167504027777e-08,1.309545350262965e-05
13,36000,0,7.612213437369064e-08,7.213008501594231e-08,7.992257167188654e-08,1.2540837086598433e-05
14,38000,0,7.781584088206728e-08,7.356904774269424e-08,8.227318204490075e-08,1.1939178717456443e-05
15,40000,0,6.878254055209254e-08,6.505198513195865e-08,7.260520362706302e-08,1.1017111299269517e-05
16,42000,0,6.638176586193367e-08,6.267565311190992e-08,7.014619995970861e-08,1.0142279120416013e-05
17,44000,0,6.310250455499045e-08,5.966257532463715e-08,6.681003128505836e-08,9.960877513256121e-06
18,46000,0,6.030895605135811e-08,5.7011945386875595e-08,6.346356684616694e-08,1.0437118372708872e-05
19,48000,0,5.837813077391729e-08,5.500881172793015e-08,6.174244759904468e-08,9.650727691820698e-06
20,50000,0,5.701406635694184e-08,5.393814106469108e-08,6.000481533874336e-08,9.216947617861719e-06
21,52000,0,5.359749977174033e-08,5.046266693398138e-08,5.699972405182052e-08,9.0155244696817e-06
22,54000,0,5.209419740026533e-08,4.9415945113651105e-08,5.490533894203509e-08,8.183104413829467e-06
23,56000,0,4.6353854088465596e-08,4.3865320265013e-08,4.8823075360360235e-08,7.71806350033504e-06
24,58000,0,4.6818207977139537e-08,4.4253855691067656e-08,4.935291286756183e-08,7.157532017817643e-06
25,60000,0,4.6270749010091095e-08,4.352126481421692e-08,4.876735104630825e-08,7.058793381617874e-06
26,62000,0,4.318139090742079e-08,4.078195914303251e-08,4.550681964587966e-08,6.814038389369492e-06
27,64000,0,4.1093851876894405e-08,3.875165077715792e-08,4.3370171454171214e-08,7.397881538205609e-06
28,66000,0,4.186581392673361e-08,3.965538653005751e-08,4.424551747206351e-08,6.34117425863711e-06
29,68000,0,4.1558742225333845e-08,3.935488379624985e-08,4.3801914983987444e-08,6.526371302980412e-06
30,70000,0,3.998410491590221e-08,3.791274494346908e-08,4.225097072207973e-08,6.351781887962494e-06
31,72000,0,3.7650579542969353e-08,3.5646721130433434e-08,3.984655805311377e-08,6.147275245517821e-06
32,74000,0,3.62824259525496e-08,3.428869632671194e-08,3.8194865936702627e-08,5.539949661861545e-06
33,76000,0,3.731679854013237e-08,3.5296512379545675e-08,3.950705718125391e-08,5.742448184410165e-06
34,78000,0,3.6899695743386474e-08,3.468087328428737e-08,3.897321576573631e-08,5.7085751792792995e-06
35,80000,0,3.333919806891572e-08,3.145917659708175e-08,3.521655500549059e-08,5.233063741703262e-06
36,82000,0,3.387239644325746e-08,3.210722354651807e-08,3.5671682496740686e-08,5.545799944263188e-06
37,84000,0,3.2893730406158284e-08,3.113882129923695e-08,3.466212916691802e-08,5.179829937848193e-06
38,86000,0,3.452642971524256e-08,3.275581761386093e-08,3.6054025542853196e-08,5.046148784448536e-06
39,88000,0,3.244266011392938e-08,3.064152664933317e-08,3.433030926203173e-08,4.567013997135811e-06
40,90000,0,2.982158520126177e-08,2.8233559490331572e-08,3.140059945394569e-08,4.983793912743951e-06
41,92000,0,3.099309964227359e-08,2.934718423830418e-08,3.2867458088503554e-08,4.742866914990167e-06
42,94000,0,2.8494701709291803e-08,2.6933840047149715e-08,3.0149912788601796e-08,4.50053415857237e-06
43,96000,0,2.8432980414550002e-08,2.689313127746118e-08,3.0079718271736056e-08,4.619131357783293e-06
44,98000,0,2.948165622740362e-08,2.778164542860395e-08,3.1131051514421415e-08,4.600907812803854e-06
45,100000,0,2.8605052548869025e-08,2.7063666863114122e-08,3.0275110418642726e-08,4.3096414639264384e-06
